1077.0;-505.0
1077.0;-494.0
1077.0;-482.0
1074.0;-463.0
1071.0;-442.0
1063.0;-417.0
1231.0;-295.0
1059.0;-404.0
1055.0;-394.0
1050.0;-383.0
1043.0;-374.0
1031.0;-357.0
1024.0;-353.0
1143.0;-205.0
1017.0;-338.0
1008.0;-325.0
998.0;-315.0
985.0;-307.0
976.0;-304.0
1044.0;-99.0
1035.0;-90.0
1019.0;-88.0
1001.0;-80.0
979.0;-74.0
960.0;-68.0
953.0;-54.0
937.0;-64.0
921.0;-50.0
907.0;-50.0
908.0;-47.0
890.0;-45.0
882.0;-35.0
866.0;-45.0
833.0;-143.0
815.0;-132.0
801.0;-139.0
786.0;-127.0
765.0;-127.0
752.0;-118.0
741.0;-124.0
742.0;-34.0
728.0;-116.0
717.0;-106.0
708.0;-110.0
705.0;-7.0
670.0;-7.0
652.0;-9.0
637.0;-9.0
617.0;-9.0
599.0;-14.0
574.0;-24.0
557.0;-34.0
540.0;-46.0
521.0;-59.0
528.0;-69.0
521.0;-75.0
508.0;-78.0
482.0;-94.0
464.0;-114.0
231.0;-10.0
213.0;-19.0
206.0;-25.0
196.0;-37.0
189.0;-50.0
179.0;-67.0
162.0;-85.0
165.0;-113.0
151.0;-121.0
140.0;-148.0
137.0;-165.0
118.0;-171.0
120.0;-192.0
98.0;-214.0
110.0;-229.0
86.0;-246.0
399.0;-328.0
394.0;-335.0
392.0;-344.0
391.0;-361.0
394.0;-381.0
237.0;-402.0
398.0;-387.0
400.0;-400.0
404.0;-415.0
412.0;-430.0
418.0;-439.0
302.0;-486.0
424.0;-449.0
424.0;-458.0
430.0;-473.0
436.0;-490.0
444.0;-500.0
67.0;-626.0
68.0;-642.0
67.0;-655.0
65.0;-676.0
67.0;-693.0
73.0;-712.0
81.0;-727.0
287.0;-693.0
293.0;-697.0
303.0;-706.0
314.0;-722.0
317.0;-738.0
120.0;-824.0
117.0;-846.0
128.0;-864.0
136.0;-886.0
148.0;-935.0
168.0;-958.0
198.0;-958.0
241.0;-970.0
282.0;-978.0
362.0;-971.0
396.0;-972.0
427.0;-975.0
478.0;-979.0
523.0;-979.0
536.0;-792.0
550.0;-793.0
564.0;-797.0
572.0;-790.0
579.0;-806.0
595.0;-799.0
623.0;-800.0
647.0;-808.0
632.0;-948.0
661.0;-808.0
670.0;-808.0
684.0;-812.0
700.0;-812.0
718.0;-812.0
733.0;-814.0
725.0;-944.0
747.0;-814.0
769.0;-810.0
793.0;-812.0
817.0;-808.0
849.0;-800.0
850.0;-939.0
867.0;-802.0
891.0;-802.0
915.0;-798.0
935.0;-793.0
1007.0;-972.0
1039.0;-976.0
1071.0;-976.0
1100.0;-981.0
1135.0;-980.0
1149.0;-941.0
1176.0;-942.0
1201.0;-942.0
1218.0;-943.0
1226.0;-978.0
1255.0;-977.0
1288.0;-975.0
1312.0;-976.0
1328.0;-974.0
1362.0;-964.0
1381.0;-965.0
1411.0;-980.0
1432.0;-972.0
1433.0;-932.0
1435.0;-896.0
1435.0;-862.0
1434.0;-841.0
1437.0;-815.0
1146.0;-721.0
1440.0;-789.0
1441.0;-773.0
1441.0;-760.0
1440.0;-742.0
1439.0;-726.0
1440.0;-708.0
1411.0;-700.0
1409.0;-666.0
1407.0;-647.0
1444.0;-645.0
1442.0;-621.0
1441.0;-585.0
1435.0;-550.0
1431.0;-525.0
1425.0;-501.0
1420.0;-486.0
1064.0;-557.0
1072.0;-543.0
1079.0;-522.0
